,ds,yhat_lower,yhat,yhat_upper
253,2019-09-11,792607.3658166791,1731668.8952182312,2688750.7758890614
254,2019-09-12,813354.1641130464,1816962.0209110356,2797413.3489185795
255,2019-09-13,767216.607851914,1772877.7256464302,2799852.651752982
256,2019-09-14,676735.5317518918,1739978.8294553128,2724429.2675891523
257,2019-09-15,609780.1699853298,1610215.5949663497,2518119.9214780317
258,2019-09-16,685741.2097846012,1567481.8633410276,2494460.982328308
259,2019-09-17,648120.7812959912,1594308.2041211613,2637475.8060066607
260,2019-09-18,650003.9642586625,1632321.034518727,2571648.7144283145
261,2019-09-19,766012.6472094128,1694211.4248888611,2660736.8131842515
262,2019-09-20,622300.7708415388,1629727.8150146976,2566155.8223092053
263,2019-09-21,682655.981839987,1579963.4612024934,2565329.604506292
264,2019-09-22,515565.40053640434,1437308.9359841687,2405732.316166795
265,2019-09-23,378704.61251154833,1385996.239801013,2339101.029797884
266,2019-09-24,371432.28972000524,1408782.632397112,2439197.167563853
267,2019-09-25,482865.4254120637,1447403.4276385386,2384843.8189166454
268,2019-09-26,586816.0680250853,1514537.6804595485,2507475.120097021
269,2019-09-27,458469.7043648182,1459801.1125792721,2346769.550390672
270,2019-09-28,465419.49335401464,1424037.126467188,2481610.394994749
271,2019-09-29,284553.52931052743,1299276.164044209,2348049.0158348125
272,2019-09-30,328719.0485239195,1269289.8097231737,2293446.158770093
273,2019-10-01,308455.3206277979,1316287.4948392692,2233696.0485585206
274,2019-10-02,354476.2752067567,1381384.7114038474,2331049.9571393575
275,2019-10-03,413400.4694528348,1476586.2515296093,2460385.76807928
276,2019-10-04,439954.81656758,1450798.34101788,2377181.254291158
277,2019-10-05,406506.9380266995,1444139.9854917112,2377203.477605416
278,2019-10-06,375150.8914255619,1347923.21589197,2285876.40846504
279,2019-10-07,322196.2671946217,1345228.0406982389,2353217.68067551
280,2019-10-08,418822.0695905677,1417619.3635661162,2378178.9245235207
281,2019-10-09,530497.911072379,1505634.1868160204,2470114.3026844207
282,2019-10-10,620383.8419454877,1620782.0578536899,2574378.055292141
283,2019-10-11,562840.8773934997,1611572.111523456,2646871.991150309
284,2019-10-12,653856.3762131006,1617836.571127925,2644121.1391308974
285,2019-10-13,545450.8911071302,1530720.0124154408,2493685.658339032
286,2019-10-14,548667.7635382937,1533259.90051556,2538786.2409299016
287,2019-10-15,639617.3454230834,1607105.4557645563,2572964.786562044
288,2019-10-16,728555.0145690269,1693003.0678774193,2614185.2063739183
289,2019-10-17,854603.5855243976,1802791.220016781,2772154.3853281303
290,2019-10-18,827101.0728225759,1785418.387652674,2730556.7672908874
291,2019-10-19,760842.2348097869,1781253.991635738,2772310.415677179
292,2019-10-20,757312.3636453685,1682062.026864984,2616312.649508368
293,2019-10-21,702821.8255443407,1671563.2862286074,2651059.970818783
294,2019-10-22,773264.724676951,1732133.72714033,2799204.8074165825
295,2019-10-23,807870.5824222143,1805267.7610425628,2832205.8099012915
296,2019-10-24,943922.319530868,1903550.0420323028,2861592.024960655
297,2019-10-25,910955.3922790294,1876649.8715058127,2853671.3479693616
298,2019-10-26,970185.7798474879,1865608.9695041876,2804330.3905894007
299,2019-10-27,763863.3085574758,1762792.90590879,2729397.7524544955
300,2019-10-28,784147.4601488112,1752432.7643248672,2762561.3428555354
301,2019-10-29,858023.0382426966,1817305.2023064513,2785091.5809931923
302,2019-10-30,907274.7289387434,1899180.249167419,2961757.3146761376
303,2019-10-31,1012713.5404922438,2010780.9072451137,3015536.19633905
304,2019-11-01,1134733.0569413668,2105775.936843347,3056569.4950348497
305,2019-11-02,1041764.4290380594,2013028.8611373557,2979049.349796739
306,2019-11-03,908598.6692394833,1936617.7386312098,2924338.7860910823
307,2019-11-04,1015274.2972522132,1956312.2610168576,2926896.4740580814
308,2019-11-05,1075267.7640907925,2054296.399142378,3037715.1207142095
309,2019-11-06,1200335.8090992826,2171621.7239049408,3160688.1492815637
310,2019-11-07,1394459.0289542251,2320183.2144091185,3329143.830201345
311,2019-11-08,1292624.9868048776,2348724.830975331,3244241.920914675
312,2019-11-09,1430148.9170722952,2397145.425062381,3397255.9259446207
313,2019-11-10,1333135.2170246688,2356474.903932347,3343051.185336227
314,2019-11-11,1565486.7307450501,2513453.5187428254,3452465.321940704
315,2019-11-12,1548508.0935416955,2537213.681053322,3520957.548959599
316,2019-11-13,1647608.2904675568,2679836.8104693857,3638520.7378180446
317,2019-11-14,1787444.998412857,2848288.1524670855,3812502.5787745574
318,2019-11-15,1964314.6376626166,2890483.0455719563,3897949.129837679
