,date,rev,discount
55,2019-02-25,1809271.1862476198,1054691.0
56,2019-02-26,1756233.1857188558,964544.0
57,2019-02-27,1713822.2037409502,910166.0
58,2019-02-28,1795012.3415542855,920806.0
59,2019-03-01,1587685.7328990467,805232.0
60,2019-03-02,1563241.1402057135,855090.0
61,2019-03-03,1782833.032243806,882259.0
62,2019-03-04,1461804.7818971418,835008.0
63,2019-03-05,1455697.9555428575,820384.0
64,2019-03-06,1754387.5983771416,918200.0
65,2019-03-07,1853697.9510628583,1056627.0
66,2019-03-08,1599307.0874666648,940754.0
67,2019-03-09,1583517.0365942859,905487.0
68,2019-03-10,1690354.9258072376,862424.0
69,2019-03-11,1514414.5240533338,861842.0
70,2019-03-12,1450195.864761904,769985.0
71,2019-03-13,1656606.0192533303,989165.0
72,2019-03-14,1513773.2003314279,824389.0
73,2019-03-15,1473670.1499390488,819842.0
74,2019-03-16,1597606.0539504779,1027687.0
75,2019-03-17,1908490.7689135242,1150471.0
76,2019-03-18,1676035.2442361899,972496.0
77,2019-03-19,2262235.537622855,1516105.0
78,2019-03-20,2504561.349013335,1715885.0
79,2019-03-21,2528620.5326704783,1823080.0
80,2019-03-22,1696338.1752990442,907534.0
81,2019-03-23,2246436.43654095,1774045.0
82,2019-03-24,1516748.966019813,1050185.0
83,2019-03-25,1595336.5644106697,929037.0
84,2019-03-26,1787779.9790323782,1042829.0
85,2019-03-27,2023989.5058430461,1379103.0
86,2019-03-28,1652120.6029561895,1051657.0
87,2019-03-29,1898049.7760350462,1254932.0
88,2019-03-30,1913572.8872929504,1438642.0
89,2019-03-31,1555363.9152761893,951999.0
90,2019-04-01,1439479.6443276177,948109.0
91,2019-04-02,1610804.2864076248,1088609.0
92,2019-04-03,1561651.5520906653,963656.0
93,2019-04-04,1349856.3629333319,854657.0
94,2019-04-05,1281899.5544533324,647050.0
95,2019-04-06,1183071.6635047626,813238.0
96,2019-04-07,1313492.2918095237,712754.0
97,2019-04-08,1284051.4558499057,761491.0
98,2019-04-09,1524108.1691047642,963131.0
99,2019-04-10,1404903.1479999989,936308.0
100,2019-04-11,1732286.6293180943,1083863.0
101,2019-04-12,1417695.8129219003,1018548.0
102,2019-04-13,1429088.4171001925,868139.0
103,2019-04-14,1426911.392777144,791047.0
104,2019-04-15,1705144.7271847627,891105.0
105,2019-04-16,1762609.9113333323,1059352.0
106,2019-04-17,1648144.6121226628,994866.0
107,2019-04-18,1792194.3907428537,891383.0
108,2019-04-19,1696544.444297139,960349.0
109,2019-04-20,1956833.6039771424,1070133.0
110,2019-04-21,1383929.235832383,783847.0
111,2019-04-22,1551293.2140000004,839858.0
112,2019-04-23,1648094.0792571406,917705.0
113,2019-04-24,1787897.31376762,997340.0
114,2019-04-25,1777087.3685942858,986191.0
115,2019-04-26,1841758.5840914282,1074471.0
116,2019-04-27,2319248.8381180977,1404885.0
117,2019-04-28,2049985.7040000032,1092547.0
118,2019-04-29,1345285.6548342858,731354.0
119,2019-04-30,4978240.491391996,2690400.0
120,2019-05-01,5380993.049233516,2910018.0
121,2019-05-02,5899809.393003449,3325064.0
122,2019-05-03,5178390.4964259155,3092878.0
123,2019-05-04,5240713.431135223,3022963.0
124,2019-05-05,3394431.5853561913,2195417.0
125,2019-05-06,1634371.6598476162,926616.0
126,2019-05-07,1587576.5885097128,736733.0
127,2019-05-08,1438296.5483161914,804339.0
128,2019-05-09,1664238.7193599974,859809.0
129,2019-05-10,1858065.9431314305,998310.0
130,2019-05-11,1924316.5689028576,1067458.0
131,2019-05-12,1963245.1750895232,1176429.0
132,2019-05-13,1813196.1183817142,954539.0
133,2019-05-14,1227345.911847621,566438.0
134,2019-05-15,1889456.7693180959,1003487.0
135,2019-05-16,1869483.468358097,1002398.0
136,2019-05-17,1885312.8331504744,973390.0
137,2019-05-18,1585257.809110858,803080.0
138,2019-05-19,1705290.7647542853,766166.0
139,2019-05-20,2395378.61745143,1093771.0
140,2019-05-21,3406848.547542857,1741373.0
141,2019-05-22,3775550.103786674,2004256.0
142,2019-05-23,3231424.0939428518,1777469.0
143,2019-05-24,3149452.00659048,1559597.0
144,2019-05-25,4500647.270567633,2218765.0
145,2019-05-26,3169675.0371733415,1603534.0
146,2019-05-27,3278211.4532571426,1664569.0
147,2019-05-28,2920890.4286613395,1495047.0
148,2019-05-29,3393840.8223619014,1902583.0
149,2019-05-30,3230811.3436571434,1705701.0
150,2019-05-31,2912697.702979044,1593002.0
151,2019-06-01,3246220.279013332,1652421.0
152,2019-06-02,3128856.575211425,1754404.0
153,2019-06-03,2332170.1651885766,1314631.0
154,2019-06-04,1003322.7699161908,582214.0
155,2019-06-05,1556188.9010514265,817615.0
156,2019-06-06,1644544.4593523813,816426.0
157,2019-06-07,1367598.0841980958,611713.0
158,2019-06-08,1474996.9768838082,688880.0
159,2019-06-09,1787425.184099047,845237.0
160,2019-06-10,2029150.3679314293,1078411.0
161,2019-06-11,2322341.841809529,1348191.0
162,2019-06-12,2845426.5827131444,1846075.0
163,2019-06-13,2556778.929805711,1711505.0
164,2019-06-14,2625052.793355424,1512142.0
165,2019-06-15,2645797.472666666,1595577.0
166,2019-06-16,2135339.2281279964,1165418.0
167,2019-06-17,1928482.960601904,1271571.0
168,2019-06-18,2298348.826205716,1380983.0
169,2019-06-19,2270964.715466669,1403851.0
